school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
MS;F;16;U;GT3;T;1;2;other;services;course;mother;1;3;1;no;yes;no;no;yes;yes;no;no;1;3;2;1;2;4;3;9;8;2
GP;F;17;U;GT3;T;2;1;services;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;5;2;4;4;4;12;16;4
GP;F;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1;4;12;13;3
MS;F;16;R;LE3;T;1;2;at_home;other;course;mother;1;2;0;no;no;no;yes;yes;no;yes;no;4;4;5;1;3;3;0;8;9;2
MS;F;17;R;GT3;T;3;2;at_home;other;course;father;1;2;1;no;no;no;no;yes;yes;no;yes;4;5;4;1;2;5;0;10;10;3
GP;M;18;U;LE3;T;3;1;services;services;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;yes;3;3;4;4;5;4;2;11;11;3
GP;F;16;U;GT3;A;2;2;other;other;home;mother;1;1;1;no;no;no;no;yes;yes;no;no;5;3;4;1;1;5;12;13;11;3
GP;M;16;U;GT3;T;2;1;other;other;course;mother;3;1;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;4;7;15;16;4
GP;F;18;U;GT3;T;2;3;other;services;reputation;father;1;4;0;no;yes;no;yes;yes;yes;yes;yes;4;5;5;1;3;2;10;16;16;4
GP;F;16;U;GT3;T;2;2;services;services;home;mother;1;1;0;no;yes;no;no;no;yes;yes;no;1;2;2;1;3;5;6;10;11;3
GP;F;15;U;GT3;T;2;2;other;other;course;mother;1;4;0;yes;yes;no;no;yes;yes;yes;no;5;1;2;1;1;3;4;10;10;3
GP;F;18;U;LE3;A;2;1;other;other;course;mother;1;2;0;no;yes;no;no;no;yes;yes;yes;4;3;4;1;3;5;2;12;12;3
MS;M;16;U;LE3;A;2;2;other;services;course;father;2;2;0;no;yes;no;no;no;yes;yes;yes;4;1;2;2;2;5;0;12;13;3
GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;1;2;13;14;3
MS;M;18;U;LE3;T;1;1;other;services;home;father;2;1;0;no;no;no;no;no;yes;yes;yes;3;3;2;1;2;3;2;14;13;3
MS;F;18;U;GT3;T;1;1;other;other;course;mother;3;2;2;no;no;no;yes;yes;yes;no;yes;3;4;4;2;2;5;3;7;8;2
GP;F;17;U;LE3;A;4;2;teacher;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;4;3;2;1;1;4;4;15;14;3
GP;F;18;U;GT3;T;1;4;other;teacher;home;mother;1;2;0;yes;yes;no;no;no;yes;no;yes;3;4;4;1;2;5;2;10;10;3
GP;F;20;U;GT3;T;1;0;other;other;reputation;mother;2;1;1;yes;no;no;no;yes;yes;yes;yes;5;3;1;1;1;5;5;8;10;3
GP;M;16;U;GT3;T;3;3;services;other;home;father;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;4;13;14;3
GP;F;17;U;GT3;T;2;3;other;other;course;father;2;2;0;no;no;no;yes;yes;yes;yes;yes;4;2;1;1;1;3;2;11;12;3
GP;M;16;U;LE3;T;2;1;at_home;other;course;mother;1;1;1;no;no;no;yes;yes;yes;no;yes;4;4;4;3;5;5;6;9;10;3
GP;F;18;U;GT3;T;2;2;other;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;yes;yes;4;3;5;2;4;5;2;10;10;3
MS;M;16;R;LE3;T;1;2;other;at_home;course;mother;1;1;0;no;no;no;no;yes;yes;no;no;4;4;4;2;4;5;4;9;10;3
MS;M;16;R;LE3;T;1;1;at_home;other;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;4;5;5;2;4;5;0;10;10;2
GP;M;19;R;GT3;T;3;3;other;services;reputation;father;1;2;0;no;no;no;yes;yes;yes;no;yes;4;5;3;1;2;5;0;10;10;3
MS;F;16;R;LE3;T;1;2;other;other;reputation;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;5;4;5;1;4;2;0;14;14;3
GP;M;16;U;LE3;T;1;2;health;services;course;mother;2;1;2;no;no;no;no;no;yes;yes;no;4;4;5;3;5;5;0;9;8;3
GP;F;17;R;GT3;T;2;4;at_home;other;course;father;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;4;3;1;1;5;0;15;15;3
GP;M;17;U;LE3;T;4;4;services;other;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;yes;5;3;5;4;5;3;15;13;12;3
GP;F;15;U;GT3;T;4;4;services;at_home;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;5;4;13;14;3
GP;M;17;U;GT3;T;1;2;at_home;services;other;other;2;2;0;no;no;no;yes;no;yes;yes;no;4;4;4;4;5;5;16;10;11;3
GP;M;17;R;LE3;T;2;1;at_home;other;course;mother;2;1;1;no;no;yes;yes;yes;no;yes;yes;3;3;2;2;2;5;8;8;8;2
GP;F;17;U;GT3;T;4;4;teacher;services;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;3;4;0;13;12;3
MS;F;16;R;GT3;T;1;1;at_home;other;other;mother;2;1;0;no;no;no;yes;yes;yes;yes;yes;4;2;2;4;3;2;0;13;12;3
